IP Address,Counts
24.64.208,3
216.58.112,1179
207.68.178,36
123.112.87,1
192.168.17,1371
192.168.9,620
192.168.10,620
72.197.8,1
71.228.199,4
99.248.20,1
75.117.31,3
58.160.93,1
85.54.146,1
58.147.54,1
24.64.234,3
142.162.239,1
190.40.97,1
207.24.89,1
10.97.14,71
69.115.209,4
63.227.65,1
76.87.248,1
201.26.136,1
70.189.221,3
59.100.237,2
24.64.136,1
151.9.246,1
216.51.106,2
66.214.36,1
209.131.38,1
122.162.36,1
216.211.188,2
24.174.141,2
99.251.241,2
75.27.233,1
91.139.26,1
72.129.201,6
79.186.174,1
71.170.80,1
106.108.177,1
66.11.164,30
24.64.216,3
196.206.134,1
121.14.136,2
69.139.205,1
66.24.36,2
210.213.141,1
205.250.109,1
162.86.171,1
24.64.125,1
219.139.115,1
200.8.71,1
24.64.232,3
59.95.27,1
24.64.240,3
60.87.149,1
24.64.31,3
163.140.169,1
209.226.175,1
113.22.125,1
222.162.78,1
80.254.112,1
122.164.76,2
83.239.155,1
68.43.45,1
68.46.224,1
71.194.107,2
67.8.58,1
63.167.69,1
24.149.194,1
77.234.15,1
72.230.93,1
67.173.3,2
75.171.122,2
68.81.84,3
75.132.195,1
24.64.35,3
122.162.219,1
24.64.103,6
137.1.220,1
200.35.177,1
200.119.135,1
129.134.110,1
89.175.152,1
122.167.238,1
68.206.75,2
24.166.109,4
76.250.142,1
121.135.240,1
78.148.104,1
71.104.50,1
194.90.6,20
60.21.103,1
221.208.208,7
109.140.157,1
82.35.230,4
77.91.200,1
65.26.47,1
124.121.192,1
78.148.58,1
201.231.47,1
24.64.65,3
190.189.106,1
74.12.248,1
98.207.166,3
86.101.52,1
5.126.53,1
211.200.56,2
52.52.117,1
83.8.141,1
24.67.56,3
72.229.247,1
75.138.144,2
218.249.243,1
85.75.51,1
69.31.42,3
221.217.183,1
168.18.80,1
85.137.113,1
218.9.66,1
24.64.139,5
65.120.86,1
71.127.188,1
205.134.188,6
193.47.121,1
216.60.166,2
196.174.202,1
126.203.126,1
71.126.248,1
24.64.112,3
82.216.11,1
99.237.83,1
67.174.105,3
92.46.11,1
86.110.25,1
165.70.127,1
67.15.135,13
60.48.66,1
208.76.80,1
74.161.10,2
122.24.143,1
86.60.106,1
211.108.155,2
89.151.157,1
72.76.18,1
216.215.20,3
61.132.223,1
89.24.99,1
201.64.110,1
92.112.63,1
84.204.158,1
76.26.35,1
24.64.33,3
56.227.152,1
62.101.126,2
24.64.45,6
74.133.109,1
62.10.181,1
24.64.145,3
213.150.83,1
24.64.155,3
86.133.109,1
24.64.117,6
60.161.216,1
24.165.92,3
79.64.233,2
203.173.191,3
61.7.42,2
24.64.104,3
20.63.253,1
202.97.238,7
68.189.54,1
208.17.81,1
78.53.64,3
59.92.12,1
218.64.222,1
67.82.213,1
86.150.137,1
72.74.229,2
24.64.247,9
117.44.26,1
24.64.148,3
24.64.107,3
113.240.254,1
64.56.143,1
78.64.94,1
82.138.46,1
136.1.7,1
221.221.82,1
218.31.79,1
218.10.137,7
189.27.241,1
5.106.75,1
33.70.134,1
37.50.202,1
71.125.48,1
220.246.61,1
124.191.75,1
87.99.7,6
86.137.159,1
71.14.121,1
68.12.143,2
96.2.73,1
84.58.185,1
170.151.147,1
62.221.44,1
74.75.29,2
75.164.140,2
66.191.18,1
99.245.91,1
88.241.227,1
24.64.99,3
24.64.203,3
85.104.40,1
207.8.198,1
83.11.117,1
161.85.118,1
88.246.139,1
86.55.160,1
92.83.127,1
222.130.211,1
67.113.111,2
68.188.196,1
71.206.130,3
76.17.177,1
216.173.13,2
193.22.88,1
216.198.251,1
195.205.8,5
61.247.239,1
203.130.2,3
0.0.0,10
192.168.1,10
125.65.244,2
24.64.123,3
99.163.34,1
195.135.221,2
210.185.160,1
24.64.228,3
92.113.205,1
56.126.223,1
91.120.54,1
85.98.186,1
207.58.147,1
208.64.200,1
96.234.177,1
66.230.200,2
87.223.189,1
75.121.38,1
24.64.198,3
198.173.64,1
77.49.33,1
88.252.39,1
88.227.145,1
209.200.225,1
72.44.69,1
123.7.11,1
85.18.14,1
59.96.104,1
35.248.242,1
88.204.214,1
61.17.32,1
221.128.153,1
88.141.131,1
222.112.147,1
172.185.75,1
89.21.232,1
88.231.183,1
125.76.214,1
185.79.236,1
62.189.181,1
104.214.116,1
124.253.3,1
91.124.139,1
219.153.13,1
64.74.133,11
66.98.0,1
222.117.164,1
115.187.206,1
24.64.129,3
66.167.81,1
77.51.81,1
87.106.95,1
124.125.41,1
122.163.97,1
70.85.185,3
220.64.219,1
24.64.118,3
42.201.28,1
24.64.122,3
80.207.16,5
80.145.197,1
189.26.72,1
62.139.173,1
62.43.240,1
82.31.90,1
11.216.73,1
76.97.188,2
65.100.199,1
89.218.72,1
89.239.170,1
91.163.121,1
89.106.9,1
78.176.73,1
85.100.152,1
62.57.158,1
88.253.77,1
87.226.215,1
62.193.216,1
211.116.81,1
24.64.37,3
213.217.179,1
24.64.105,3
129.197.76,1
82.0.207,1
69.72.133,1
128.121.79,1
24.64.71,3
212.83.88,1
203.130.172,1
212.182.187,1
78.3.77,1
68.119.100,1
81.27.145,1
217.30.253,1
172.210.174,1
87.88.189,1
164.173.192,1
24.65.2,3
139.195.225,1
205.214.70,1
24.64.181,3
202.213.57,1
78.62.67,1
91.127.44,1
88.249.64,1
62.202.74,2
81.154.43,1
218.27.4,1
89.110.10,1
87.235.99,1
81.23.126,1
24.64.44,3
103.226.196,1
218.16.119,1
99.233.139,5
79.72.34,1
217.136.233,1
201.235.46,1
24.64.97,6
89.138.226,1
195.210.44,2
54.247.102,1
216.205.91,1
210.17.245,1
190.50.215,1
205.120.249,1
194.213.42,1
201.68.29,2
24.64.158,3
23.118.142,1
124.64.197,1
24.64.92,3
77.103.133,1
82.82.135,1
201.229.180,1
58.187.204,1
77.42.129,4
24.64.87,6
190.64.178,1
189.13.197,1
50.175.203,1
41.196.235,1
111.58.183,1
189.13.212,1
199.89.242,1
213.140.232,1
24.64.138,6
69.147.103,1
82.158.227,1
87.18.196,1
84.30.36,1
195.56.207,1
24.64.54,3
89.229.17,1
104.215.205,1
24.64.237,3
81.183.226,1
190.42.207,1
217.129.202,1
88.130.115,1
67.15.159,1
90.133.233,1
216.67.250,1
78.37.28,1
61.78.175,1
24.64.252,3
124.120.198,1
89.141.6,1
86.21.44,1
210.111.249,1
122.127.77,1
221.150.144,3
71.4.79,5
221.135.220,1
190.5.198,1
201.231.210,1
221.209.110,4
89.132.192,1
81.105.156,1
79.125.130,1
64.29.178,1
41.249.69,1
213.47.147,1
207.58.137,1
89.130.106,1
85.103.174,1
200.121.27,1
159.228.23,1
200.153.194,1
89.107.90,1
77.197.242,1
190.9.91,1
86.101.56,1
85.96.142,3
202.86.169,1
190.65.147,1
24.64.36,3
200.88.168,1
67.43.2,1
88.18.50,1
195.204.1,1
64.239.158,1
69.147.64,1
149.232.181,1
190.82.220,1
209.37.71,1
65.44.117,1
85.75.56,1
218.15.95,1
89.136.134,1
59.182.71,1
59.16.75,1
11.140.195,1
118.169.147,2
200.94.94,1
66.163.168,3
35.72.188,1
84.120.201,1
80.39.134,1
72.90.252,1
24.64.127,3
143.148.154,1
81.141.91,2
75.133.77,1
80.126.146,1
24.64.215,3
82.166.74,1
85.240.194,1
24.64.63,3
151.59.69,1
213.140.22,1
75.162.41,1
24.64.200,3
211.243.145,1
24.64.178,3
64.29.83,1
121.122.37,1
83.213.139,1
99.252.235,1
200.71.237,1
82.18.168,1
61.190.136,1
67.216.129,1
156.101.119,1
75.92.116,1
200.121.147,1
24.64.210,3
24.64.214,6
24.64.221,5
189.78.251,1
12.168.212,1
42.128.84,1
72.38.55,5
84.32.113,1
91.144.133,1
82.38.230,1
84.29.182,1
190.26.104,1
89.1.151,1
201.230.149,1
83.46.128,1
24.64.101,3
89.165.186,1
66.94.237,1
38.100.169,1
200.211.146,1
217.127.143,1
86.104.182,1
201.9.182,1
56.14.15,1
128.29.163,1
190.49.8,1
200.83.228,1
65.109.80,1
207.45.176,1
124.120.245,1
91.122.161,1
201.221.161,1
189.41.209,1
24.64.194,3
89.49.78,5
71.165.154,1
88.245.114,1
194.187.205,1
100.24.18,1
81.15.250,1
87.6.209,1
190.1.212,1
189.31.152,4
90.154.216,1
66.221.238,1
208.205.46,1
190.79.148,1
85.102.58,1
1.4.1,2
24.64.57,3
82.213.165,1
83.9.227,1
83.186.189,1
185.18.108,1
87.24.131,1
82.204.148,1
14.102.96,1
90.248.113,1
206.108.5,4
91.90.200,1
88.252.225,1
79.186.237,1
69.61.32,1
89.132.115,1
194.3.54,1
89.109.197,1
71.125.192,1
147.227.192,1
82.16.35,1
24.64.182,3
71.187.148,1
85.141.189,1
41.251.69,1
200.67.106,1
83.6.235,1
201.240.194,1
200.114.44,2
184.163.93,1
78.149.74,1
81.213.160,1
209.200.245,1
201.58.129,1
217.194.196,1
87.203.158,1
73.230.55,1
79.12.103,1
201.228.201,1
79.185.83,5
142.237.31,6
213.184.7,1
24.64.51,3
88.235.111,1
79.101.145,1
200.114.26,1
201.83.240,1
189.10.217,1
218.64.237,1
24.64.190,3
151.74.159,1
201.240.55,1
81.208.83,4
59.177.100,1
209.200.255,1
201.233.146,1
81.101.158,1
142.217.215,1
201.211.103,3
81.248.11,1
65.54.246,1
198.41.70,1
212.114.49,1
220.195.35,390
24.64.171,3
89.136.24,6
83.46.21,1
24.64.3,3
44.85.108,1
183.70.138,1
78.170.159,1
24.64.227,3
96.240.44,1
217.88.190,1
70.47.93,1
24.64.197,3
83.153.123,1
88.18.225,1
83.132.66,1
91.44.239,1
199.125.184,1
194.170.173,1
222.236.206,1
201.16.26,1
17.69.200,1
84.1.209,1
142.190.110,1
95.13.70,1
78.176.121,1
125.244.236,1
61.143.147,1
191.148.180,1
24.64.27,3
189.33.131,1
152.3.166,1
201.240.65,5
140.252.214,1
152.213.44,1
129.41.77,1
190.40.253,1
24.64.53,3
96.237.120,1
71.170.107,1
76.2.106,1
85.13.47,1
193.227.243,3
201.255.162,1
87.18.17,1
91.122.181,4
86.164.44,1
209.59.162,1
82.229.96,2
200.67.233,1
71.199.156,1
24.64.82,3
190.40.195,1
200.121.135,1
81.103.99,1
181.98.186,1
88.18.60,1
198.237.173,1
206.191.34,1
24.64.154,3
192.168.12,5
88.11.12,1
87.240.6,1
190.49.127,1
78.140.214,1
84.94.113,2
195.56.159,1
203.210.200,1
88.245.69,1
190.24.46,1
24.64.186,3
24.64.40,1
200.89.242,1
201.110.75,1
86.141.18,1
24.64.126,3
64.124.204,1
83.27.228,2
211.213.60,2
48.234.96,1
24.64.55,3
210.235.119,1
86.127.73,1
24.64.193,3
22.147.86,1
86.107.89,1
200.118.113,1
18.7.25,1
201.110.201,1
194.117.241,1
201.240.66,1
204.15.20,1
64.213.55,2
198.43.162,1
118.125.3,1
62.121.69,1
178.248.112,1
82.116.114,1
190.188.224,1
80.58.231,1
80.143.37,2
200.122.253,1
82.13.92,1
201.254.187,1
189.12.221,1
190.128.53,1
201.233.50,1
83.15.28,1
85.102.90,1
170.224.180,1
190.136.0,1
24.235.159,1
200.97.116,1
